_id,Ngày,Quốc gia,Thành phố,Phân loại,Count,Min,Max,Meidan,Variance
1039,2020-03-19T00:00:00,VN,Hạ Long,pressure,8,997.3,1002.6,999.5,29.61
1040,2020-05-04T00:00:00,VN,Hạ Long,pressure,7,1002.4,1006.2,1004.1,20.08
1041,2020-09-07T00:00:00,VN,Hạ Long,pressure,7,986.2,990.1,988.2,20.95
1042,2020-08-18T00:00:00,VN,Hạ Long,pressure,8,990.3,994.1,992.1,15.51
1043,2020-10-03T00:00:00,VN,Hạ Long,pressure,8,994.9,1002,998.6,67.74
1044,2020-04-14T00:00:00,VN,Hạ Long,pressure,7,1002.1,1005.4,1004,18.97
1045,2020-07-20T00:00:00,VN,Hạ Long,pressure,8,991.8,995,992.6,12.6
1046,2020-06-09T00:00:00,VN,Hạ Long,pressure,8,988.5,992.7,991.4,18.37
1047,2020-12-17T00:00:00,VN,Hạ Long,pressure,8,1005.8,1010.6,1007.9,19.44
1048,2020-01-31T00:00:00,VN,Hạ Long,pressure,8,1004.4,1008.8,1006,15.98
1049,2020-02-27T00:00:00,VN,Hạ Long,pressure,8,1002,1006.2,1003.3,16.03
1050,2020-12-05T00:00:00,VN,Hạ Long,pressure,8,995.2,999.9,997.7,23.03
1051,2020-10-31T00:00:00,VN,Hạ Long,pressure,8,1001.8,1005.8,1003.2,16.1
1052,2020-05-18T00:00:00,VN,Hạ Long,pressure,7,988.2,992.4,990.3,24.38
1053,2020-06-18T00:00:00,VN,Hạ Long,pressure,8,990.3,993.1,991.7,12.26
1054,2020-06-28T00:00:00,VN,Hạ Long,pressure,23,989.6,992.8,992,8.42
1055,2020-09-15T00:00:00,VN,Hạ Long,pressure,8,991.6,996.9,994.6,29.22
1056,2020-01-16T00:00:00,VN,Hạ Long,pressure,8,1000.2,1004.1,1001.8,19.83
1057,2020-01-25T00:00:00,VN,Hạ Long,pressure,8,997.8,1002.7,999.2,28.19
1058,2020-06-02T00:00:00,VN,Hạ Long,pressure,8,1000.5,1004.5,1002.1,15.02
1059,2020-04-15T00:00:00,VN,Hạ Long,pressure,8,998.5,1003.4,1000.4,36.11
1060,2020-12-21T00:00:00,VN,Hạ Long,pressure,8,1006.6,1012.6,1008.4,48.4
1061,2021-06-01T00:00:00,VN,Hạ Long,pressure,8,1002.4,1007.2,1004.2,30.06
1062,2020-09-17T00:00:00,VN,Hạ Long,pressure,8,989,993.8,991.8,21.33
1063,2020-09-21T00:00:00,VN,Hạ Long,pressure,7,994,996.5,995.9,8.8
1064,2020-09-22T00:00:00,VN,Hạ Long,pressure,6,994.5,996.9,995.3,6.84
1065,2020-11-17T00:00:00,VN,Hạ Long,pressure,8,998.5,1001.8,999.8,11.51
1066,2020-09-27T00:00:00,VN,Hạ Long,pressure,8,993.2,996.9,994.7,17
1067,2020-10-21T00:00:00,VN,Hạ Long,pressure,16,999,1004.6,1001.6,41.32
1068,2020-03-11T00:00:00,VN,Hạ Long,pressure,8,1002.7,1006,1004.1,12.94
1069,2020-01-14T00:00:00,VN,Hạ Long,pressure,8,999.8,1003.7,1001,13.45
1070,2020-04-30T00:00:00,VN,Hạ Long,pressure,8,998.5,1003.2,1000.6,29.83
1071,2020-05-20T00:00:00,VN,Hạ Long,pressure,7,987.7,990.9,989.3,12.62
1072,2020-08-26T00:00:00,VN,Hạ Long,pressure,8,985.7,990.2,988.8,22.91
1073,2021-01-13T00:00:00,VN,Hạ Long,pressure,8,1002.5,1007.5,1004.5,35.74
1074,2020-08-05T00:00:00,VN,Hạ Long,pressure,7,990.3,996.2,992.7,37.26
1075,2020-08-19T00:00:00,VN,Hạ Long,pressure,8,989.6,993.7,991.9,18.41
1076,2020-06-12T00:00:00,VN,Hạ Long,pressure,8,1004.1,1009,1006.6,26.82
1077,2020-12-18T00:00:00,VN,Hạ Long,pressure,8,1007.3,1011.2,1008,22.82
1078,2020-10-01T00:00:00,VN,Hạ Long,pressure,8,998.8,1003.2,1000.1,17.73
1079,2020-06-23T00:00:00,VN,Hạ Long,pressure,13,990.1,992.1,991.5,6.94
1080,2020-11-09T00:00:00,VN,Hạ Long,pressure,8,991.5,995.2,993.1,15.3
1081,2020-11-29T00:00:00,VN,Hạ Long,pressure,8,1006.3,1010.5,1008,19.31
1082,2021-01-14T00:00:00,VN,Hạ Long,pressure,8,1001.6,1005.9,1003.3,18.77
1083,2020-08-03T00:00:00,VN,Hạ Long,pressure,6,989.1,995.9,992,64.3
1084,2020-04-18T00:00:00,VN,Hạ Long,pressure,7,995,999.8,997.7,28.11
1085,2020-04-24T00:00:00,VN,Hạ Long,pressure,8,1002.5,1008,1005.3,39.01
1086,2020-04-12T00:00:00,VN,Hạ Long,pressure,8,1005.6,1010.5,1008.3,24.57
1087,2020-03-18T00:00:00,VN,Hạ Long,pressure,8,996.9,1002.3,999.6,29.67
1088,2020-05-30T00:00:00,VN,Hạ Long,pressure,7,992.3,996.6,995,19.5
1089,2020-06-07T00:00:00,VN,Hạ Long,pressure,7,989.8,992.7,991.4,9.36
1090,2020-07-12T00:00:00,VN,Hạ Long,pressure,8,1005.8,1009.8,1006.9,19.66
1091,2020-07-31T00:00:00,VN,Hạ Long,pressure,8,987.9,992.3,990.4,26.71
1092,2020-08-17T00:00:00,VN,Hạ Long,pressure,7,990.1,993.2,992,12.47
1093,2020-08-20T00:00:00,VN,Hạ Long,pressure,6,992.5,995.2,993.4,8.43
