Province,Address,Province Latitude,Province Longitude,Date,AQI,CO,NO2,O3,PM-10,PM-2.5,SO2,Primary Pollutant,Fog,Humidity,Temperature,Wind Speed,Pressure
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-02-03,167,2.0,9.0,10.0,53.0,86.0,2.0,PM-2.5,0.0,88.0,18.0,2.0,1020.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-02-03,184,3.0,4.0,23.6,74.0,119.0,1.0,PM-2.5,0.0,82.0,20.0,3.6,1020.0
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-02-05,137,2.0,9.0,23.0,40.0,50.0,3.0,PM-2.5,0.0,47.0,25.0,3.6,1017.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-02-05,172,2.0,4.0,45.0,58.0,96.0,4.0,PM-2.5,0.0,47.0,25.0,3.6,1017.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-02-05,159,2.0,2.0,23.6,46.80555555555556,70.38888888888889,2.0,PM-2.5,0.0,51.5,24.5,2.3,1018.0
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-02-06,161,4.0,12.0,23.0,77.0,75.0,2.0,PM-10,0.0,56.0,22.0,3.0,1014.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-02-06,199,3.0,6.0,43.0,84.0,149.0,4.0,PM-2.5,0.0,56.0,22.0,3.0,1014.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-02-06,159,3.0,6.0,23.6,46.80555555555556,70.38888888888889,2.0,PM-2.5,0.0,56.0,22.0,3.0,1014.0
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-02-09,61,3.0,9.0,25.0,9.0,17.0,2.0,O3,0.0,82.0,16.0,3.6,1014.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-02-09,55,3.0,1.0,16.0,8.0,14.0,1.0,O3,0.0,82.0,16.0,3.6,1014.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-02-09,159,4.0,3.0,23.6,46.80555555555556,70.38888888888889,1.0,PM-2.5,0.0,82.0,16.0,3.6,1014.0
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-02-14,167,3.0,7.0,24.0,49.0,86.0,2.0,PM-2.5,0.0,56.0,22.0,3.0,1014.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-02-14,162,3.0,4.0,31.0,48.0,77.0,3.0,PM-2.5,0.0,56.0,22.0,3.0,1014.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-02-14,159,4.0,3.0,23.6,46.80555555555556,70.38888888888889,2.0,PM-2.5,0.0,60.0,21.5,2.5,1014.0
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-02-15,129,2.0,4.0,24.0,28.0,47.0,2.0,PM-2.5,18.0,78.0,22.0,3.0,1013.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-02-15,152,2.0,2.0,32.0,34.0,57.0,3.0,PM-2.5,18.0,78.0,22.0,3.0,1013.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-02-15,159,4.0,1.0,23.6,46.80555555555556,70.38888888888889,1.0,PM-2.5,18.0,78.0,22.0,2.5,1013.5
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-02-16,155,2.0,6.0,24.0,38.0,63.0,3.0,PM-2.5,17.0,82.0,20.0,2.5,1014.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-02-16,161,3.0,7.0,25.0,49.0,75.0,5.0,PM-2.5,17.0,82.0,20.0,2.5,1014.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-02-16,159,3.0,2.0,23.6,46.80555555555556,70.38888888888889,1.0,PM-2.5,17.0,82.0,20.0,2.5,1014.0
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-02-17,102,2.0,7.0,24.0,34.0,36.0,3.0,PM-2.5,10.0,49.0,21.0,3.6,1022.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-02-17,115,3.0,2.0,23.0,27.0,41.0,5.0,PM-2.5,10.0,49.0,21.0,3.6,1022.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-02-17,159,4.0,3.0,23.6,46.80555555555556,70.38888888888889,2.0,PM-2.5,10.0,49.0,21.0,3.6,1022.0
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-02-18,165,3.0,8.0,24.0,51.0,83.0,4.0,PM-2.5,12.0,53.0,22.0,2.0,1024.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-02-18,174,5.0,14.0,32.0,56.0,101.0,15.0,PM-2.5,12.0,53.0,22.0,2.0,1024.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-02-18,159,3.0,9.0,23.6,46.80555555555556,70.38888888888889,8.0,PM-2.5,12.0,53.0,22.0,2.3,1023.5
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-02-20,185,3.0,8.0,24.0,66.0,121.0,4.0,PM-2.5,13.0,53.0,23.0,2.5,1017.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-02-20,175,2.0,6.0,40.0,63.0,102.0,4.0,PM-2.5,13.0,53.0,23.0,2.5,1017.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-02-20,159,3.0,15.0,23.6,46.80555555555556,70.38888888888889,3.0,PM-2.5,13.0,53.0,23.0,2.5,1017.0
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-02-22,166,2.0,11.0,24.0,63.0,85.0,4.0,PM-2.5,17.0,64.0,24.0,3.6,1012.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-02-22,153,2.0,4.0,31.0,50.0,60.0,3.0,PM-2.5,17.0,64.0,24.0,3.6,1012.0
