date, pm25, pm10, o3, no2, so2, co
2021/10/6, , , 1, 2, 4, 
2021/10/7, , , 1, 2, 4, 
2021/10/15, , , 40, 1, 4, 
2021/10/18, , , 1, 2, , 
2021/10/19, , , 1, 2, , 
2021/10/20, , , 1, 1, , 
2021/10/21, , , 1, 2, 13, 3
2021/10/22, , , 2, 7, 13, 3
2021/10/23, , , 2, 7, 13, 3
2021/10/24, , , 2, 8, 13, 3
2021/10/25, , , 2, 9, 13, 4
2021/10/26, , , 2, 9, 14, 4
2021/10/27, , , 2, 7, , 4
2021/10/28, , , 2, 8, , 4
2021/10/29, , , 2, 5, , 4
2021/10/30, , , 2, 4, , 4
2021/9/30, , , 1, 1, 2, 
2021/10/2, , , , 1, , 
2021/10/3, , , , 2, 2, 
2021/10/4, , , , 2, 3, 
2021/10/5, , , , 2, 4, 
2021/10/8, , , , 2, 5, 
2021/10/9, , , , 1, , 
2021/10/10, , , , 1, , 
2021/10/11, , , , 2, , 
2021/10/12, , , , 3, , 
2021/10/13, , , , 2, , 
2021/10/14, , , , 2, 4, 
2021/10/16, , , , 2, 5, 
2021/10/17, , , , 2, , 
2021/9/29, , , , 1, 2, 
